"","ETHANE(SITE-LP_LakePark) PPBC","ETHYLENE(SITE-LP_LakePark) PPBC","PROPANE(SITE-LP_LakePark) PPBC","PROPYLENE(SITE-LP_LakePark) PPBC","ISO-BUTANE(SITE-LP_LakePark) PPBC","N-BUTANE(SITE-LP_LakePark) PPBC","ACETYLENE(SITE-LP_LakePark) PPBC","TRANS-2-BUTENE(SITE-LP_LakePark) PPBC","1-BUTENE(SITE-LP_LakePark) PPBC","CIS-2-BUTENE(SITE-LP_LakePark) PPBC","CYCLOPENTANE(SITE-LP_LakePark) PPBC","ISO-PENTANE(SITE-LP_LakePark) PPBC","N-PENTANE(SITE-LP_LakePark) PPBC","1,3-BUTADIENE(SITE-LP_LakePark) PPBC","TRANS-2-PENTENE(SITE-LP_LakePark) PPBC","1-PENTENE(SITE-LP_LakePark) PPBC","CIS-2-PENTENE(SITE-LP_LakePark) PPBC","2,2-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2-METHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLPENTANE(SITE-LP_LakePark) PPBC","ISOPRENE(SITE-LP_LakePark) PPBC","2-METHYL-1-PENTENE(SITE-LP_LakePark) PPBC","1-HEXENE(SITE-LP_LakePark) PPBC","N-HEXANE(SITE-LP_LakePark) PPBC","METHYLCYCLOPENTANE(SITE-LP_LakePark) PPBC","2,4-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","BENZENE(SITE-LP_LakePark) PPBC","CYCLOHEXANE(SITE-LP_LakePark) PPBC","2-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,2,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","N-HEPTANE(SITE-LP_LakePark) PPBC","METHYLCYCLOHEXANE(SITE-LP_LakePark) PPBC","2,3,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","TOLUENE(SITE-LP_LakePark) PPBC","2-METHYLHEPTANE(SITE-LP_LakePark) PPBC","3-METHYLHEPTANE(SITE-LP_LakePark) PPBC","N-OCTANE(SITE-LP_LakePark) PPBC","ETHYLBENZENE(SITE-LP_LakePark) PPBC","M&P-XYLENE(SITE-LP_LakePark) PPBC","STYRENE(SITE-LP_LakePark) PPBC","O-XYLENE(SITE-LP_LakePark) PPBC","N-NONANE(SITE-LP_LakePark) PPBC","ISO-PROPYLBENZENE(SITE-LP_LakePark) PPBC","ALPHA-PINENE(SITE-LP_LakePark) PPBC","N-PROPYLBENZENE(SITE-LP_LakePark) PPBC","M-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","P-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","1,3,5-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","O-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","BETA-PINENE(SITE-LP_LakePark) PPBC","1,2,4-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","N-DECANE(SITE-LP_LakePark) PPBC","1,2,3-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","M-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","P-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","N-UNDECANE(SITE-LP_LakePark) PPBC","N-DODECANE(SITE-LP_LakePark) PPBC","TNMHC(SITE-LP_LakePark) PPBC","TNMTC(SITE-LP_LakePark) PPBC"
"09/27/2025 22:00","1.4484","1.3954","1.4244","1.4471","1.5405","1.6803","0.0126","1.5692","1.5428","1.6213","1.5609","1.5403","1.5358","1.4222","1.4783","1.5176","1.4599","1.531","1.5055","1.5442","1.5514","1.0258","0.0031","1.537","1.5324","1.5322","1.5889","1.8804","1.6296","1.5145","1.5604","1.6042","1.5511","1.6534","1.5283","1.4912","1.8367","1.526","1.529","1.5549","1.4678","1.4982","1.0928","1.419","1.5033","1.4886","0.0682","1.3799","1.364","1.3016","1.3608","1.3818","0.0539","1.4457","1.3863","1.2979","1.3334","1.2587","1.4362","1.1181","88.7886","83.0644"
"10/04/2025 22:00","1.2901","1.1831","1.1984","1.2659","1.3184","1.4105","0","1.2936","1.3138","1.3672","1.3061","1.3024","1.3233","1.1683","1.2646","1.2757","1.2316","1.3172","1.2882","1.3098","1.3205","0.8686","0.006","1.2929","1.322","1.2761","1.3213","1.6212","1.2856","1.2306","1.3527","1.3059","1.2745","1.4967","1.2679","1.2346","1.53","1.2432","1.2341","1.2221","1.1847","1.1981","0.8504","1.1899","1.1789","1.2214","0.0499","1.1048","1.1242","0.9939","1.0396","1.0836","0.0245","1.1225","1.1698","1.0175","0.9394","0.9057","1.1691","0.9269","72.4386","68.6295"
"10/11/2025 22:00","1.243","1.1889","1.2084","1.1957","1.3477","1.4282","0","1.3456","1.3727","1.4189","1.3397","1.334","1.3416","1.223","1.2639","1.2794","1.2277","1.3198","1.2782","1.2931","1.3231","0.8512","0.006","1.2623","1.2481","1.2249","1.3164","1.5985","1.3297","1.2612","1.2838","1.3422","1.3162","1.3681","1.2856","1.2556","1.4942","1.2225","1.292","1.2288","1.1904","1.2451","0.8847","1.1826","1.1857","1.2281","0.1074","1.1277","1.1614","1.0666","1.1181","1.1226","0.0399","1.1589","1.1741","1.0608","1.0378","1.0498","1.2055","0.9632","72.6831","69.4703"
"10/18/2025 22:00","1.3029","1.1711","1.2066","1.2434","1.2949","1.4321","0","1.33","1.2945","1.3818","1.3015","1.3038","1.3059","1.1854","1.2539","1.2773","1.2399","1.2989","1.2806","1.2854","1.3115","0.8666","0.003","1.2516","1.2614","1.213","1.2896","1.5916","1.3038","1.2052","1.2363","1.2617","1.257","1.3723","1.2244","1.2246","1.5357","1.267","1.2623","1.2563","1.2244","1.2288","0.8746","1.1995","1.2043","1.23","0.0531","1.13","1.1635","1.0944","1.1559","1.131","0.0359","1.1515","1.1938","1.0727","1.0303","1.0294","1.2181","0.9401","72.7203","68.9461"
"10/25/2025 22:00","1.2244","1.1949","1.2058","1.1827","1.2992","1.404","0","1.2852","1.2882","1.3453","1.2973","1.2841","1.3003","1.1671","1.2441","1.2601","1.2246","1.31","1.3007","1.3166","1.3112","0.8433","0","1.292","1.2777","1.2318","1.3252","1.5573","1.2379","1.2526","1.2789","1.311","1.2498","1.3078","1.2652","1.2726","1.5534","1.2249","1.2447","1.2274","1.2235","1.1654","0.8586","1.1684","1.198","1.1925","0","1.1321","1.1158","1.047","1.1184","1.1035","0.0275","1.1228","1.1282","1.0617","0.9571","0.9128","1.1186","0.7568","70.5553","67.808"
"11/01/2025 22:00","1.3658","1.2003","1.2363","1.2413","1.3435","1.4943","0","1.3679","1.3451","1.4381","1.3377","1.2994","1.3093","1.2147","1.242","1.2629","1.2195","1.2889","1.2922","1.3196","1.3122","0.8248","0","1.2766","1.3299","1.2108","1.3026","1.5774","1.2588","1.3234","1.3586","1.2894","1.2453","1.3747","1.2843","1.24","1.6105","1.2707","1.2628","1.2444","1.2025","1.2682","0.8812","1.1976","1.1946","1.2435","0.0783","1.1272","1.1514","1.0792","1.1139","1.1435","0.0478","1.1925","1.1526","1.0557","1.0669","1.0102","1.1743","0.8241","72.0374","69.6212"
"11/08/2025 22:00","1.3217","1.1873","1.2247","1.216","1.3059","1.3892","0","1.3079","1.2947","1.3479","1.2864","1.2558","1.2683","1.1625","1.2265","1.2567","1.1899","1.2674","1.2775","1.2989","1.3068","0.8343","0","1.2646","1.3101","1.2383","1.2721","1.5608","1.2304","1.2167","1.2495","1.3253","1.2365","1.3176","1.2821","1.2442","1.5491","1.2572","1.2341","1.3337","1.2018","1.1911","0.8525","1.1514","1.1799","1.2011","0.0578","1.1232","1.1193","1.0394","1.1205","1.0829","0.041","1.1372","1.1153","1.0082","0.9609","0.9644","1.1284","0.7927","70.4348","67.8176"
"11/15/2025 22:00","1.2834","1.1518","1.2091","1.197","1.275","1.3998","0","1.291","1.2372","1.334","1.2655","1.2474","1.2715","1.142","1.2045","1.2309","1.1699","1.2701","1.2715","1.2903","1.2771","0.805","0","1.2522","1.2605","1.2144","1.2985","1.6048","1.3012","1.2176","1.2395","1.2484","1.2146","1.39","1.2518","1.2409","1.4981","1.2414","1.298","1.2603","1.167","1.2008","0.8761","1.1813","1.1848","1.2479","0.0265","1.0893","1.1631","1.0354","1.1163","1.1142","0.037","1.1114","1.1098","1.0461","0.9487","0.9597","1.1619","0.8996","70.6496","67.5331"
"11/22/2025 22:00","1.3632","1.216","1.2056","1.2077","1.2964","1.4171","0","1.2862","1.2799","1.3757","1.2811","1.2253","1.2493","1.1829","1.1966","1.2253","1.181","1.2718","1.2989","1.333","1.3337","0.8004","0","1.2818","1.3295","1.205","1.3001","1.6077","1.2617","1.2915","1.3259","1.3206","1.2055","1.4152","1.2864","1.2386","1.5172","1.2374","1.2735","1.2751","1.2002","1.2821","0.8889","1.1713","1.1771","1.2228","0","1.1077","1.0795","0.9932","1.0622","1.0676","0.0131","1.1263","1.1072","0.997","0.9467","0.914","1.1289","0.7933","70.9132","67.8789"
"11/29/2025 22:00","1.3655","2.8009","1.1446","1.359","1.13","1.249","0.2706","1.2606","1.1223","1.1905","1.2762","1.3195","1.5356","1.113","1.2291","1.304","1.2133","1.3014","1.2386","1.2804","1.275","0.8626","0","1.2349","1.2067","1.1894","1.3288","1.5301","1.1929","1.2092","1.3551","1.287","1.3148","1.3388","1.223","1.2213","1.3688","1.2456","1.2295","1.2078","1.1932","1.229","1.0226","1.2255","1.2428","1.2309","0.0667","1.155","1.26","1.1622","1.1594","1.1743","0.3679","1.244","1.2558","1.1195","1.1451","1.1556","1.2426","1.1451","77.1966","71.3226"
"12/06/2025 22:00","1.6568","1.7202","1.3245","1.3608","1.3303","1.6022","0.0419","1.4516","1.351","1.5337","1.4649","1.477","1.4951","1.4029","1.405","1.4542","1.4052","1.4616","1.4505","1.4865","1.4741","1.0224","0","1.4232","1.3451","1.2197","1.359","1.7473","1.3506","1.3827","1.4084","1.4002","1.4346","1.5224","1.3757","1.3948","1.4854","1.4183","1.4959","1.394","1.3276","1.3751","1.0082","1.2955","1.4092","1.4482","0.0716","1.2961","1.3524","1.2342","1.2623","1.3144","0.0669","1.358","1.3552","1.243","1.241","1.2886","1.2913","0.9566","80.9595","77.7251"
"12/13/2025 22:00","1.6517","1.6281","1.2656","1.3038","1.3432","1.5583","0.0525","1.4758","1.2993","1.5107","1.4594","1.4317","1.4906","1.3099","1.3867","1.439","1.3807","1.4298","1.413","1.4489","1.4604","0.9725","0.0041","1.3888","1.3658","1.2894","1.3928","1.7331","1.3423","1.4693","1.4466","1.4195","1.3668","1.4818","1.3741","1.3821","1.5146","1.4111","1.3596","1.395","1.3602","1.4521","1.0167","1.3292","1.3799","1.4012","0.0304","1.3395","1.3803","1.25","1.2744","1.3041","0.0503","1.3572","1.3162","1.2452","1.2251","1.2852","1.2756","0.9252","81.1352","77.0464"
"12/20/2025 22:00","1.5205","1.6227","1.2734","1.3742","1.3793","1.5343","0.0486","1.4343","1.3608","1.4982","1.4491","1.4694","1.4573","1.321","1.4009","1.4263","1.3641","1.4468","1.4433","1.4984","1.4809","0.9511","0","1.42","1.404","1.3071","1.3797","1.7825","1.3829","1.358","1.4295","1.4209","1.3711","1.4229","1.368","1.4002","1.5648","1.357","1.3815","1.395","1.3648","1.4358","1.0054","1.3421","1.355","1.3904","0.0587","1.3045","1.3491","1.243","1.2653","1.2872","0.0398","1.3045","1.3017","1.2064","1.2496","1.25","1.2428","0.9212","80.7584","76.8173"
"12/27/2025 22:00","1.4234","1.4778","1.3333","1.3742","1.4542","1.5445","0.0294","1.4384","1.3933","1.4984","1.4397","1.4468","1.4709","1.3077","1.3933","1.4007","1.3518","1.4483","1.43","1.4803","1.4815","0.9598","0","1.391","1.4094","1.3254","1.3839","1.7112","1.3632","1.3912","1.4054","1.4754","1.3817","1.4332","1.358","1.4094","1.5833","1.3606","1.3803","1.3578","1.3284","1.3879","1.0291","1.2776","1.3403","1.3801","0.0446","1.246","1.2953","1.2","1.2583","1.2456","0.0336","1.2812","1.311","1.1936","1.2016","1.1709","1.29","1.1039","80.7546","76.3171"
"01/03/2026 22:00","1.4224","1.431","1.288","1.3071","1.4239","1.5575","0","1.4553","1.4037","1.4945","1.4491","1.4485","1.4653","1.3186","1.3807","1.3914","1.3666","1.4358","1.4278","1.4641","1.4684","0.93","0","1.4253","1.3632","1.3039","1.4123","1.764","1.4959","1.4092","1.3721","1.3534","1.3429","1.5664","1.4911","1.3869","1.5566","1.3887","1.4127","1.3829","1.3232","1.3208","0.992","1.3116","1.3628","1.3809","0","1.2529","1.2804","1.1918","1.2352","1.2806","0.0547","1.249","1.2925","1.1745","1.2173","1.1938","1.3264","1.0786","79.2374","76.2762"
"01/10/2026 22:00","1.4641","1.4216","1.2884","1.3356","1.4122","1.5203","0","1.4356","1.4117","1.493","1.4349","1.4089","1.4347","1.2898","1.3662","1.4025","1.3465","1.4358","1.3939","1.4421","1.452","0.939","0","1.3918","1.3694","1.2872","1.3964","1.7429","1.3441","1.3429","1.3487","1.3644","1.3674","1.6098","1.3694","1.3572","1.6221","1.359","1.4444","1.4036","1.3319","1.3877","0.9741","1.2778","1.3767","1.3765","0","1.2605","1.2915","1.1988","1.2368","1.2784","0.0545","1.3049","1.3023","1.2054","1.1166","1.1703","1.2921","1.0446","78.8007","75.7309"
"01/17/2026 22:00","1.5177","1.4083","1.3259","1.3537","1.4269","1.5339","0","1.4466","1.4485","1.4807","1.4483","1.4337","1.4433","1.2853","1.376","1.3988","1.3553","1.4298","1.4154","1.4456","1.4446","0.9454","0","1.3771","1.3767","1.2913","1.4348","1.7023","1.3415","1.2929","1.2925","1.3889","1.3301","1.5497","1.3415","1.3936","1.6756","1.3787","1.3668","1.3958","1.2894","1.365","0.9373","1.3009","1.3409","1.4034","0.0669","1.2834","1.2778","1.1855","1.2557","1.2856","0.0732","1.3343","1.2862","1.202","1.1431","1.1483","1.2993","1.0661","78.4805","75.8378"
"01/24/2026 22:00","1.4906","1.3883","1.2818","1.3317","1.4253","1.5569","0","1.4516","1.4148","1.4867","1.4304","1.4524","1.4516","1.2908","1.374","1.4037","1.3625","1.4308","1.4095","1.4536","1.4637","0.9335","0","1.4021","1.3902","1.323","1.4","1.7152","1.4018","1.3548","1.3331","1.4078","1.3288","1.4521","1.3648","1.3988","1.6247","1.3819","1.3761","1.4358","1.3252","1.3266","1.0279","1.3284","1.3753","1.3711","0.0386","1.3389","1.2985","1.1916","1.1916","1.2587","0.0663","1.3841","1.2788","1.1654","1.1851","1.1471","1.2802","0.9672","78.2426","75.9218"
"01/31/2026 22:00","1.6193","1.4436","1.358","1.3771","1.4066","1.5406","0","1.4319","1.4466","1.4916","1.4267","1.4341","1.4273","1.304","1.3908","1.3931","1.3516","1.4555","1.4093","1.4314","1.436","0.9267","0","1.3771","1.3761","1.2856","1.3885","1.7391","1.3238","1.3266","1.3648","1.6016","1.405","1.483","1.398","1.432","1.5763","1.3809","1.4199","1.4925","1.3172","1.3867","0.9982","1.3544","1.3598","1.408","0.0494","1.3011","1.3379","1.2265","1.2915","1.3238","0.0476","1.3451","1.3564","1.1968","1.1713","1.2165","1.356","1.0975","80.2928","77.0143"
"02/07/2026 22:00","1.4809","1.4052","1.298","1.3442","1.4179","1.5273","0","1.4132","1.4206","1.4706","1.4243","1.4095","1.4335","1.2724","1.3707","1.3953","1.3342","1.4339","1.4216","1.4553","1.4538","0.9269","0","1.3678","1.3226","1.3184","1.3614","1.7616","1.2937","1.2792","1.2945","1.3727","1.321","1.5051","1.3664","1.357","1.5942","1.3164","1.3256","1.3968","1.3104","1.3473","0.954","1.2746","1.3198","1.3387","0.0416","1.247","1.2691","1.1785","1.21","1.2239","0.0563","1.3037","1.3043","1.1455","1.0943","1.0892","1.2798","1.0211","76.9139","74.6728"
"02/14/2026 22:00","1.5308","1.374","1.3126","1.3434","1.4271","1.5291","0","1.405","1.4425","1.4495","1.4226","1.3955","1.4263","1.2531","1.3559","1.3578","1.3225","1.4349","1.4312","1.4485","1.4665","0.9054","0","1.3912","1.3461","1.278","1.3536","1.7449","1.3389","1.3214","1.3262","1.4302","1.3385","1.4724","1.368","1.3666","1.6492","1.361","1.3731","1.441","1.2792","1.3696","0.9922","1.3069","1.3451","1.392","0.0338","1.2406","1.3116","1.1934","1.2776","1.242","0","1.2287","1.2623","1.1781","1.0915","1.0577","1.2505","1.0452","77.5748","75.0325"
"02/21/2026 22:00","1.5388","1.3994","1.3052","1.3052","1.3939","1.5119","0","1.3966","1.3963","1.4409","1.3883","1.391","1.3824","1.2332","1.3647","1.3578","1.3112","1.4091","1.3933","1.422","1.4025","0.8846","0","1.3666","1.3182","1.282","1.3508","1.7142","1.3106","1.3298","1.3212","1.3361","1.3095","1.35","1.3124","1.3174","1.6685","1.3049","1.3323","1.3256","1.2569","1.3035","0.9656","1.24","1.2919","1.2955","0","1.2314","1.2555","1.1212","1.205","1.2119","0.0386","1.2161","1.2326","1.0981","1.0549","1.0324","1.2304","0.9703","75.6913","73.1302"
"02/28/2026 22:00","1.4727","1.4074","1.2939","1.3582","1.4908","1.5181","0","1.406","1.4236","1.4752","1.3963","1.3664","1.4009","1.2576","1.3278","1.3596","1.2997","1.4031","1.375","1.39","1.3816","0.9041","0","1.3584","1.3906","1.2852","1.4016","1.7441","1.4468","1.3664","1.2981","1.4117","1.3274","1.3644","1.3043","1.321","1.6406","1.3859","1.3375","1.3495","1.3017","1.2931","0.9469","1.2866","1.3288","1.3528","0","1.2438","1.2704","1.1542","1.1863","1.2253","0","1.2478","1.2549","1.1439","1.1419","1.0794","1.2368","1.002","76.9537","74.1381"
